ID,target
TEST_00000,11.0
TEST_00001,11.0
TEST_00002,11.0
TEST_00003,10.0
TEST_00004,11.0
TEST_00005,1.0
TEST_00006,5.0
TEST_00007,11.0
TEST_00008,10.0
TEST_00009,10.0
TEST_00010,18.0
TEST_00011,11.0
TEST_00012,10.0
TEST_00013,10.0
TEST_00014,10.0
TEST_00015,11.0
TEST_00016,9.0
TEST_00017,10.0
TEST_00018,11.0
TEST_00019,11.0
TEST_00020,8.0
TEST_00021,10.0
TEST_00022,11.0
TEST_00023,10.0
TEST_00024,11.0
TEST_00025,3.0
TEST_00026,8.0
TEST_00027,10.0
TEST_00028,14.0
TEST_00029,10.0
TEST_00030,11.0
TEST_00031,10.0
TEST_00032,2.0
TEST_00033,3.0
TEST_00034,21.0
TEST_00035,11.0
TEST_00036,10.0
TEST_00037,10.0
TEST_00038,11.0
TEST_00039,11.0
TEST_00040,12.0
TEST_00041,9.0
TEST_00042,10.0
TEST_00043,13.0
TEST_00044,10.0
TEST_00045,2.0
TEST_00046,10.0
TEST_00047,6.0
TEST_00048,15.0
TEST_00049,10.0
TEST_00050,10.0
TEST_00051,11.0
TEST_00052,10.0
TEST_00053,10.0
TEST_00054,10.0
TEST_00055,10.0
TEST_00056,11.0
TEST_00057,10.0
TEST_00058,14.0
TEST_00059,11.0
TEST_00060,11.0
TEST_00061,9.0
TEST_00062,2.0
TEST_00063,10.0
TEST_00064,11.0
TEST_00065,2.0
TEST_00066,7.0
TEST_00067,11.0
TEST_00068,10.0
TEST_00069,8.0
TEST_00070,4.0
TEST_00071,19.0
TEST_00072,16.0
TEST_00073,2.0
TEST_00074,11.0
TEST_00075,10.0
TEST_00076,15.0
TEST_00077,10.0
TEST_00078,3.0
TEST_00079,11.0
TEST_00080,10.0
TEST_00081,9.0
TEST_00082,10.0
TEST_00083,2.0
TEST_00084,4.0
TEST_00085,10.0
TEST_00086,3.0
TEST_00087,11.0
TEST_00088,9.0
TEST_00089,14.0
TEST_00090,10.0
TEST_00091,10.0
TEST_00092,18.0
TEST_00093,9.0
TEST_00094,11.0
TEST_00095,10.0
TEST_00096,3.0
TEST_00097,1.0
TEST_00098,10.0
TEST_00099,5.0
TEST_00100,3.0
TEST_00101,9.0
TEST_00102,11.0
TEST_00103,11.0
TEST_00104,11.0
TEST_00105,12.0
TEST_00106,9.0
TEST_00107,11.0
TEST_00108,10.0
TEST_00109,11.0
TEST_00110,10.0
TEST_00111,7.0
TEST_00112,11.0
TEST_00113,10.0
TEST_00114,5.0
TEST_00115,3.0
TEST_00116,9.0
TEST_00117,10.0
TEST_00118,10.0
TEST_00119,10.0
TEST_00120,12.0
TEST_00121,10.0
TEST_00122,11.0
TEST_00123,9.0
TEST_00124,15.0
TEST_00125,3.0
TEST_00126,3.0
TEST_00127,5.0
TEST_00128,13.0
TEST_00129,2.0
TEST_00130,11.0
TEST_00131,7.0
TEST_00132,5.0
TEST_00133,11.0
TEST_00134,3.0
TEST_00135,10.0
TEST_00136,12.0
TEST_00137,11.0
TEST_00138,10.0
TEST_00139,19.0
TEST_00140,11.0
TEST_00141,10.0
TEST_00142,11.0
TEST_00143,11.0
TEST_00144,10.0
TEST_00145,9.0
TEST_00146,15.0
TEST_00147,2.0
TEST_00148,12.0
TEST_00149,11.0
TEST_00150,11.0
TEST_00151,10.0
TEST_00152,11.0
TEST_00153,10.0
TEST_00154,11.0
TEST_00155,3.0
TEST_00156,10.0
TEST_00157,10.0
TEST_00158,10.0
TEST_00159,2.0
TEST_00160,10.0
TEST_00161,12.0
TEST_00162,11.0
TEST_00163,10.0
TEST_00164,10.0
TEST_00165,11.0
TEST_00166,10.0
TEST_00167,11.0
TEST_00168,17.0
TEST_00169,13.0
TEST_00170,14.0
TEST_00171,11.0
TEST_00172,10.0
TEST_00173,6.0
TEST_00174,2.0
TEST_00175,1.0
TEST_00176,9.0
TEST_00177,11.0
TEST_00178,11.0
TEST_00179,10.0
TEST_00180,11.0
TEST_00181,12.0
TEST_00182,10.0
TEST_00183,3.0
TEST_00184,11.0
TEST_00185,11.0
TEST_00186,15.0
TEST_00187,10.0
TEST_00188,11.0
TEST_00189,10.0
TEST_00190,16.0
TEST_00191,5.0
TEST_00192,14.0
TEST_00193,12.0
TEST_00194,10.0
TEST_00195,8.0
TEST_00196,9.0
TEST_00197,10.0
TEST_00198,10.0
TEST_00199,7.0
TEST_00200,11.0
TEST_00201,10.0
TEST_00202,10.0
TEST_00203,11.0
TEST_00204,11.0
TEST_00205,10.0
TEST_00206,11.0
TEST_00207,10.0
TEST_00208,11.0
TEST_00209,3.0
TEST_00210,3.0
TEST_00211,10.0
TEST_00212,10.0
TEST_00213,11.0
TEST_00214,17.0
TEST_00215,10.0
TEST_00216,10.0
TEST_00217,11.0
TEST_00218,8.0
TEST_00219,10.0
TEST_00220,7.0
TEST_00221,11.0
TEST_00222,10.0
TEST_00223,11.0
TEST_00224,10.0
TEST_00225,3.0
TEST_00226,10.0
TEST_00227,13.0
TEST_00228,11.0
TEST_00229,11.0
TEST_00230,12.0
TEST_00231,11.0
TEST_00232,11.0
TEST_00233,10.0
TEST_00234,6.0
TEST_00235,10.0
TEST_00236,11.0
TEST_00237,2.0
TEST_00238,12.0
TEST_00239,5.0
TEST_00240,10.0
TEST_00241,8.0
TEST_00242,12.0
TEST_00243,10.0
TEST_00244,10.0
TEST_00245,11.0
TEST_00246,10.0
TEST_00247,11.0
TEST_00248,10.0
TEST_00249,10.0
TEST_00250,11.0
TEST_00251,11.0
TEST_00252,3.0
TEST_00253,11.0
TEST_00254,11.0
TEST_00255,8.0
TEST_00256,11.0
TEST_00257,10.0
TEST_00258,16.0
TEST_00259,11.0
TEST_00260,13.0
TEST_00261,7.0
TEST_00262,10.0
TEST_00263,10.0
TEST_00264,10.0
TEST_00265,5.0
TEST_00266,11.0
TEST_00267,12.0
TEST_00268,8.0
TEST_00269,15.0
TEST_00270,2.0
TEST_00271,7.0
TEST_00272,10.0
TEST_00273,5.0
TEST_00274,3.0
TEST_00275,10.0
TEST_00276,16.0
TEST_00277,10.0
TEST_00278,11.0
TEST_00279,12.0
TEST_00280,9.0
TEST_00281,10.0
TEST_00282,10.0
TEST_00283,8.0
TEST_00284,8.0
TEST_00285,3.0
TEST_00286,11.0
TEST_00287,10.0
TEST_00288,7.0
TEST_00289,10.0
TEST_00290,11.0
TEST_00291,11.0
TEST_00292,6.0
TEST_00293,10.0
TEST_00294,10.0
TEST_00295,12.0
TEST_00296,11.0
TEST_00297,6.0
TEST_00298,11.0
TEST_00299,10.0
TEST_00300,10.0
TEST_00301,20.0
TEST_00302,3.0
TEST_00303,11.0
TEST_00304,6.0
TEST_00305,10.0
TEST_00306,11.0
TEST_00307,10.0
TEST_00308,10.0
TEST_00309,1.0
TEST_00310,2.0
TEST_00311,1.0
TEST_00312,11.0
TEST_00313,11.0
TEST_00314,11.0
TEST_00315,8.0
TEST_00316,2.0
TEST_00317,10.0
TEST_00318,10.0
TEST_00319,10.0
TEST_00320,3.0
TEST_00321,14.0
TEST_00322,12.0
TEST_00323,10.0
TEST_00324,11.0
TEST_00325,10.0
TEST_00326,11.0
TEST_00327,11.0
TEST_00328,10.0
TEST_00329,10.0
TEST_00330,10.0
TEST_00331,10.0
TEST_00332,10.0
TEST_00333,11.0
TEST_00334,10.0
TEST_00335,9.0
TEST_00336,10.0
TEST_00337,10.0
TEST_00338,11.0
TEST_00339,11.0
TEST_00340,11.0
TEST_00341,11.0
TEST_00342,7.0
TEST_00343,9.0
TEST_00344,13.0
TEST_00345,10.0
TEST_00346,10.0
TEST_00347,10.0
TEST_00348,11.0
TEST_00349,10.0
TEST_00350,10.0
TEST_00351,11.0
TEST_00352,10.0
TEST_00353,10.0
TEST_00354,11.0
TEST_00355,5.0
TEST_00356,8.0
TEST_00357,8.0
TEST_00358,11.0
TEST_00359,3.0
TEST_00360,2.0
TEST_00361,15.0
TEST_00362,10.0
TEST_00363,21.0
TEST_00364,15.0
TEST_00365,9.0
TEST_00366,11.0
TEST_00367,8.0
TEST_00368,10.0
TEST_00369,10.0
TEST_00370,11.0
TEST_00371,3.0
TEST_00372,10.0
TEST_00373,16.0
TEST_00374,11.0
TEST_00375,11.0
TEST_00376,10.0
TEST_00377,11.0
TEST_00378,10.0
TEST_00379,10.0
TEST_00380,6.0
TEST_00381,10.0
TEST_00382,11.0
TEST_00383,10.0
TEST_00384,11.0
TEST_00385,5.0
TEST_00386,11.0
TEST_00387,2.0
TEST_00388,9.0
TEST_00389,10.0
TEST_00390,10.0
TEST_00391,11.0
TEST_00392,12.0
TEST_00393,11.0
TEST_00394,10.0
TEST_00395,12.0
TEST_00396,11.0
TEST_00397,9.0
TEST_00398,2.0
TEST_00399,11.0
TEST_00400,10.0
TEST_00401,10.0
TEST_00402,10.0
TEST_00403,18.0
TEST_00404,11.0
TEST_00405,11.0
TEST_00406,21.0
TEST_00407,10.0
TEST_00408,10.0
TEST_00409,2.0
TEST_00410,16.0
TEST_00411,10.0
TEST_00412,10.0
TEST_00413,10.0
TEST_00414,8.0
TEST_00415,10.0
TEST_00416,10.0
TEST_00417,11.0
TEST_00418,10.0
TEST_00419,10.0
TEST_00420,11.0
TEST_00421,11.0
TEST_00422,10.0
TEST_00423,11.0
TEST_00424,11.0
TEST_00425,10.0
TEST_00426,11.0
TEST_00427,10.0
TEST_00428,10.0
TEST_00429,11.0
TEST_00430,2.0
TEST_00431,11.0
TEST_00432,13.0
TEST_00433,10.0
TEST_00434,3.0
TEST_00435,11.0
TEST_00436,11.0
TEST_00437,10.0
TEST_00438,11.0
TEST_00439,11.0
TEST_00440,15.0
TEST_00441,9.0
TEST_00442,10.0
TEST_00443,12.0
TEST_00444,11.0
TEST_00445,10.0
TEST_00446,10.0
TEST_00447,11.0
TEST_00448,10.0
TEST_00449,11.0
TEST_00450,10.0
TEST_00451,10.0
TEST_00452,9.0
TEST_00453,10.0
TEST_00454,3.0
TEST_00455,10.0
TEST_00456,11.0
TEST_00457,10.0
TEST_00458,7.0
TEST_00459,10.0
TEST_00460,9.0
TEST_00461,11.0
TEST_00462,10.0
TEST_00463,11.0
TEST_00464,11.0
TEST_00465,9.0
TEST_00466,10.0
TEST_00467,11.0
TEST_00468,10.0
TEST_00469,9.0
TEST_00470,11.0
TEST_00471,10.0
TEST_00472,15.0
TEST_00473,12.0
TEST_00474,10.0
TEST_00475,3.0
TEST_00476,10.0
TEST_00477,10.0
TEST_00478,11.0
TEST_00479,10.0
TEST_00480,10.0
TEST_00481,5.0
TEST_00482,10.0
TEST_00483,10.0
TEST_00484,12.0
TEST_00485,11.0
TEST_00486,2.0
TEST_00487,10.0
TEST_00488,12.0
TEST_00489,11.0
TEST_00490,14.0
TEST_00491,14.0
TEST_00492,2.0
TEST_00493,10.0
TEST_00494,10.0
TEST_00495,10.0
TEST_00496,10.0
TEST_00497,17.0
TEST_00498,10.0
TEST_00499,10.0
TEST_00500,10.0
TEST_00501,8.0
TEST_00502,11.0
TEST_00503,9.0
TEST_00504,3.0
TEST_00505,11.0
TEST_00506,10.0
TEST_00507,11.0
TEST_00508,12.0
TEST_00509,10.0
TEST_00510,10.0
TEST_00511,8.0
TEST_00512,10.0
TEST_00513,10.0
TEST_00514,10.0
TEST_00515,10.0
TEST_00516,11.0
TEST_00517,11.0
TEST_00518,10.0
TEST_00519,20.0
TEST_00520,11.0
TEST_00521,12.0
TEST_00522,10.0
TEST_00523,11.0
TEST_00524,19.0
TEST_00525,11.0
