model,feature,importance
rf,X_01,0.004232005512172307
rf,X_02,0.008933335996069925
rf,X_03,0.006596117232457168
rf,X_04,0.012592740156779076
rf,X_05,0.01317346302811152
rf,X_06,0.006324301501435093
rf,X_07,0.02765974084068611
rf,X_08,0.033611007074863364
rf,X_09,0.015500487674365156
rf,X_10,0.006216976117538915
rf,X_11,0.060908453653322446
rf,X_12,0.0107095322099562
rf,X_13,0.010376925698280928
rf,X_14,0.020424461312538056
rf,X_15,0.007755822365088392
rf,X_16,0.021981347457185732
rf,X_18,0.023924418069266474
rf,X_19,0.028336263054372878
rf,X_20,0.012749839573737346
rf,X_21,0.009747232759493187
rf,X_22,0.015050002340703758
rf,X_23,0.006348650051179187
rf,X_24,0.008271219302778106
rf,X_26,0.022952813913938993
rf,X_27,0.009004048702403534
rf,X_28,0.03502981151639207
rf,X_29,0.02106498081918486
rf,X_31,0.009111940266635284
rf,X_32,0.011256194697613181
rf,X_33,0.027614247635899633
rf,X_34,0.040436284428585864
rf,X_35,0.01398411147967336
rf,X_36,0.05642433398331614
rf,X_37,0.03398121459934108
rf,X_38,0.01526283735322083
rf,X_39,0.01206159269933786
rf,X_40,0.09208081288445288
rf,X_41,0.03342673761833917
rf,X_42,0.03450622649689071
rf,X_43,0.011904571962354376
rf,X_44,0.013081685715620349
rf,X_46,0.059353762965128655
rf,X_48,0.01574042506567816
rf,X_49,0.02035920203196308
rf,X_50,0.011090188422518682
rf,X_51,0.017712347434141632
rf,X_52,0.011135284324988287
et,X_01,0.008279570189517494
et,X_02,0.011223644483521554
et,X_03,0.010683137406517332
et,X_04,0.014622458939587656
et,X_05,0.01688993801169654
et,X_06,0.008989696897748142
et,X_07,0.0259210293520621
et,X_08,0.024193618465109593
et,X_09,0.016310610485589988
et,X_10,0.009116760691421331
et,X_11,0.05600850524174122
et,X_12,0.013390195745016755
et,X_13,0.01391431643236145
et,X_14,0.01882241500177603
et,X_15,0.009878907407440178
et,X_16,0.02232555429871728
et,X_18,0.022627369915693234
et,X_19,0.023451742749255405
et,X_20,0.015480401092795984
et,X_21,0.012842958080967628
et,X_22,0.018986969233897873
et,X_23,0.009547540371031482
et,X_24,0.010481713750099007
et,X_26,0.0215365644213608
et,X_27,0.011706817151375757
et,X_28,0.03615539911618178
et,X_29,0.019722441609368573
et,X_31,0.011951131914569764
et,X_32,0.013299831067769111
et,X_33,0.0260407705511697
et,X_34,0.034651744470204
et,X_35,0.015552539818000578
et,X_36,0.05708882650987731
et,X_37,0.0327559618030541
et,X_38,0.018795608391692115
et,X_39,0.01437761642719295
et,X_40,0.07265024800839698
et,X_41,0.026628852096898113
et,X_42,0.032124595856111826
et,X_43,0.013323823623840434
et,X_44,0.013726011107375067
et,X_46,0.052248793393020534
et,X_48,0.013469032897968473
et,X_49,0.023172404141094522
et,X_50,0.01386343258214438
et,X_51,0.019257824672903885
et,X_52,0.011910674124863843
lgbm,X_01,6877.0
lgbm,X_02,11727.0
lgbm,X_03,10288.0
lgbm,X_04,7719.0
lgbm,X_05,5677.0
lgbm,X_06,12019.0
lgbm,X_07,13034.0
lgbm,X_08,12616.0
lgbm,X_09,10660.0
lgbm,X_10,11215.0
lgbm,X_11,12235.0
lgbm,X_12,9397.0
lgbm,X_13,7716.0
lgbm,X_14,11185.0
lgbm,X_15,12297.0
lgbm,X_16,7243.0
lgbm,X_18,10477.0
lgbm,X_19,10525.0
lgbm,X_20,7241.0
lgbm,X_21,9828.0
lgbm,X_22,6445.0
lgbm,X_23,11287.0
lgbm,X_24,12799.0
lgbm,X_26,10602.0
lgbm,X_27,11972.0
lgbm,X_28,8860.0
lgbm,X_29,10268.0
lgbm,X_31,11590.0
lgbm,X_32,11325.0
lgbm,X_33,10724.0
lgbm,X_34,18799.0
lgbm,X_35,11166.0
lgbm,X_36,11345.0
lgbm,X_37,8639.0
lgbm,X_38,7849.0
lgbm,X_39,6110.0
lgbm,X_40,17769.0
lgbm,X_41,13605.0
lgbm,X_42,8130.0
lgbm,X_43,6953.0
lgbm,X_44,11911.0
lgbm,X_46,17166.0
lgbm,X_48,13122.0
lgbm,X_49,8306.0
lgbm,X_50,11323.0
lgbm,X_51,6121.0
lgbm,X_52,11135.0
