ID,X_01,X_02,X_03,X_04,X_05,X_06,X_07,X_08,X_09,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,target
TRAIN_00000,0.016,0.242994,0.53853565,0.5222954,0.374494,0.5553482,0.6390911,0.49480006,0.5842328,0.5953526,18.16,0.5351614,0.5453324,0.36364728,0.5908116,0.44560498,0.5953547,0.3654351,47.566,0.58943504,0.57486767,0.704441,0.6257208,0.486718,0.37335354,0.55811214,0.4883459,0.25437197,0.5418629,0.55627245,0.5252008,0.5454811,0.6254844,0.47905004,0.45072708,0.60797185,22.295,0.37748504,0.5171531,40.965,0.7709971,0.26,0.26089633,0.4358852,0.5553589,0.7517143,0.37680095,0.4669933,0.5275846,0.5981013,0.31215966,0.58279717,0
TRAIN_00001,0.019,0.24037959,0.517223,0.538976,0.3711494,0.6938253,0.66366696,0.5309309,0.5772,0.61739516,18.519,0.54930097,0.53339493,0.37407506,0.56131864,0.46103898,0.61742705,0.3796453,52.04,0.6067895,0.5738973,0.70911103,0.5924864,0.5003759,0.35797328,0.5515636,0.4616479,0.28079635,0.57441485,0.54933804,0.47619042,0.515379,0.65333873,0.49763176,0.45057464,0.61223537,21.067,0.36602557,0.53162026,41.14,0.7742951,0.286,0.2541423,0.47985855,0.6938555,0.7489546,0.35611832,0.61346066,0.5080695,0.56981367,0.3133513,0.5705127,20
TRAIN_00002,0.012,0.24894561,0.54710877,0.4667128,0.41582975,0.65688676,0.681782,0.5807726,0.5270687,0.33782795,17.971,0.4569348,0.59296614,0.23246123,0.6059414,0.39057675,0.3378569,0.30296338,59.204,0.56518936,0.5090832,0.6772422,0.5764838,0.4882109,0.41481772,0.5562423,0.4828439,0.72112346,0.66657394,0.568189,0.48621976,0.53082955,0.6529163,0.46242258,0.38483325,0.56674725,23.551,0.41518268,0.47221348,40.951,0.7596626,0.733,0.2693673,0.41611457,0.6568843,0.75005907,0.41720006,0.5253935,0.55194664,0.63985986,0.34262684,0.5731389,1
TRAIN_00003,0.013,0.24587743,0.5278696,0.51553357,0.37919948,0.59439063,0.66381586,0.49493137,0.5817964,0.5980357,18.168,0.5521857,0.54965913,0.3716869,0.57150304,0.45777145,0.5980509,0.3764502,47.758,0.6016442,0.5725776,0.7142763,0.5769951,0.48932478,0.3779123,0.56372446,0.49857643,0.23978989,0.54480094,0.55931824,0.49062663,0.4818682,0.64301896,0.5439369,0.4403864,0.61638385,22.101,0.3688853,0.51545876,41.356,0.78349775,0.244,0.2616677,0.43676117,0.5943645,0.74629736,0.37465855,0.6942898,0.5327049,0.5811419,0.31641725,0.5626557,19
TRAIN_00004,0.024,0.23923673,0.5660869,0.51438355,0.37845102,0.6105432,0.644811,0.50856674,0.5936137,0.64651304,17.845,0.5333761,0.5497891,0.3695827,0.52482265,0.4506389,0.6465104,0.3730425,49.241,0.60047734,0.55307096,0.7114336,0.5638641,0.45785534,0.37764627,0.5580119,0.45014662,0.24947084,0.56151664,0.5671868,0.49126843,0.5718608,0.63654727,0.48968235,0.42950857,0.6147957,22.506,0.3714129,0.51665586,41.056,0.78414434,0.254,0.26072773,0.42240685,0.61052585,0.7495649,0.37274185,0.56554925,0.5355731,0.5804842,0.31498167,0.5916918,15
TRAIN_00005,0.019,0.23901923,0.50308067,0.5493838,0.34775272,0.6721379,0.70407337,0.54351383,0.6068258,0.36198655,18.336,0.5275809,0.49129337,0.24662335,0.67893815,0.44040078,0.36200014,0.3534105,55.297,0.6285289,0.55573297,0.73997676,0.60337645,0.35343966,0.3467395,0.5437641,0.45675725,0.7691789,0.6469457,0.5397689,0.58195114,0.5878405,0.7003405,0.50895965,0.46171767,0.57392925,21.296,0.35859194,0.54104906,40.898,0.7859815,0.782,0.24618553,0.43810543,0.6721247,0.7581504,0.36481258,0.42222574,0.50074714,0.58768594,0.2944934,0.60166925,1
TRAIN_00006,0.018,0.25251073,0.5233861,0.5015279,0.36685032,0.4504483,0.64217,0.515375,0.6092363,0.53407395,18.091,0.51243216,0.56441003,0.39102507,0.5524116,0.4642046,0.534034,0.3862784,50.363,0.6172543,0.53227407,0.72623074,0.5936578,0.4580926,0.3670688,0.5745185,0.48903692,0.22536148,0.57784104,0.57485944,0.49471223,0.53237987,0.6495265,0.4996191,0.4201725,0.6186052,22.42,0.35173303,0.5161396,41.34,0.7984759,0.229,0.26232597,0.4745944,0.45042,0.73596203,0.35064477,0.39883828,0.54392546,0.5748212,0.3046361,0.53373265,0
TRAIN_00007,0.015,0.25209695,0.5537481,0.4817726,0.37658376,0.5896896,0.68821293,0.7466453,0.6505577,0.4745622,17.459,0.5142986,0.52262557,0.48274964,0.52103156,0.5283282,0.47457466,0.47169587,83.838,0.684183,0.56242895,0.75721043,0.61095965,0.5761223,0.3781143,0.6231726,0.49608028,0.17527549,0.8262144,0.64298093,0.43713087,0.40606213,0.6970506,0.4961081,0.30640396,0.6433134,23.045,0.29545748,0.48759916,41.975,0.8556089,0.178,0.2520826,0.50452846,0.58971256,0.7157899,0.3182189,0.45600885,0.58826613,0.4714462,0.31157818,0.53634405,8
TRAIN_00008,0.015,0.24667606,0.52523667,0.5169702,0.36387762,0.51041925,0.6525629,0.50752807,0.5912825,0.5798393,18.162,0.5416452,0.55624926,0.36639798,0.5692065,0.46765822,0.57983124,0.3881755,51.751,0.6020912,0.5543011,0.72026294,0.5550112,0.44950807,0.36354983,0.55933505,0.47932222,0.24554846,0.5768353,0.5627563,0.4991182,0.5421955,0.64514637,0.48726442,0.41661498,0.6169737,22.215,0.36153084,0.5211037,41.08,0.7847291,0.25,0.26170197,0.45916086,0.5104179,0.7471821,0.35934684,0.498172,0.5313869,0.60397696,0.30298996,0.5976489,16
TRAIN_00009,0.019,0.24401177,0.47388646,0.5132006,0.3644329,0.6789978,0.69409627,0.53543496,0.59785104,0.47231093,19.767,0.49041688,0.5622748,0.36418238,0.58664566,0.456827,0.47233874,0.3731488,53.612,0.6276319,0.54920286,0.73127127,0.6072275,0.47554594,0.36372688,0.5466221,0.45584986,0.17798044,0.62194455,0.5582807,0.49948916,0.38888887,0.6638396,0.45192274,0.33748677,0.6087477,21.838,0.37200165,0.50209767,40.697,0.7922318,0.18,0.25973338,0.3955084,0.67899793,0.76208895,0.37635684,0.42182317,0.5138832,0.6306757,0.30663693,0.6115714,12
